year,density
2000.0,0.5237214363638557
2001.0,0.5278468167847994
2002.0,0.517888716294247
2003.0,0.5372954696891089
2004.0,0.5529959726693012
2005.0,0.5687605146686999
2006.0,0.5352259781827375
2007.0,0.5583663734852939
2008.0,0.5512890355670871
2009.0,0.5551430534348069
2010.0,0.587855253397681
2011.0,0.5533027156103353
2012.0,0.5250103879224418
2013.0,0.5532056134628544
2014.0,0.5664788372576002
2015.0,0.5788273012985887
2016.0,0.5717705716970928
2017.0,0.5677829096822143
2018.0,0.5581818271199799
2019.0,0.5587011817974318
2020.0,0.5495745480216759
2021.0,0.5557247702915934
2022.0,0.5496094098547982
2023.0,0.5689897278022106
2024.0,0.5590750204931106
2025.0,0.5645486142128625
