year,month,density
2015,6,0.565294
2015,7,0.604322
2015,8,0.566866
2015,9,0.461038
2016,6,0.549713
2016,7,0.591863
2016,8,0.573735
2016,9,0.484348
2017,6,0.543451
2017,7,0.592739
2017,8,0.567159
2017,9,0.461995
2018,6,0.541748
2018,7,0.579677
2018,8,0.553120
2018,9,0.456581
2019,6,0.526075
2019,7,0.591002
2019,8,0.559027
2019,9,0.470829
2020,6,0.523520
2020,7,0.576235
2020,8,0.548968
2020,9,0.442616
2021,6,0.533200
2021,7,0.583012
2021,8,0.550963
2021,9,0.459647
2022,6,0.513265
2022,7,0.567284
2022,8,0.568280
2022,9,0.476062
2023,6,0.567520
2023,7,0.591085
2023,8,0.548363
2023,9,0.452726
2024,6,0.544670
2024,7,0.586470
2024,8,0.546085
2024,9,0.451891
